latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
47.840511,33.384548,300.78,0.41,0.45,3/6/2021,2318,N,VIIRS,n,1,269.13,1,N,3
47.842144,33.387077,303.61,0.41,0.45,3/6/2021,2318,N,VIIRS,n,1,270.76,1.87,N,3
47.872883,33.370956,316.83,0.41,0.45,3/6/2021,2318,N,VIIRS,n,1,268.81,1.69,N,0
47.870995,33.392929,332.35,0.41,0.45,3/6/2021,2318,N,VIIRS,n,1,271.17,4.5,N,2
47.870361,33.448624,350.66,0.4,0.45,3/6/2021,2318,N,VIIRS,n,1,276.78,25.88,N,2
47.883179,33.44556,311.11,0.4,0.45,3/6/2021,2318,N,VIIRS,n,1,270.92,1.67,N,2
47.862934,35.148922,296.37,0.52,0.41,3/6/2021,2318,N,VIIRS,n,1,272.2,1.46,N,3
47.866741,35.149799,314.13,0.52,0.41,3/6/2021,2318,N,VIIRS,n,1,272.99,1.46,N,3
47.869102,35.164593,322.28,0.52,0.41,3/6/2021,2318,N,VIIRS,n,1,272.63,3.79,N,3
47.877453,35.159328,303.34,0.52,0.41,3/6/2021,2318,N,VIIRS,n,1,267.03,0.95,N,2
47.878338,35.188061,316.75,0.52,0.41,3/6/2021,2318,N,VIIRS,n,1,269.4,2.34,N,2
47.875549,35.15834,310.41,0.52,0.41,3/6/2021,2318,N,VIIRS,n,1,268.69,1.71,N,2
47.880371,35.187984,308.42,0.52,0.41,3/6/2021,2318,N,VIIRS,n,1,269.08,1.04,N,2
47.968945,37.829647,307.95,0.43,0.38,3/6/2021,2318,N,VIIRS,n,1,268.07,0.96,N,0
48.974262,24.710482,298.3,0.51,0.66,3/6/2021,2318,N,VIIRS,n,1,268.83,0.91,N,2
48.473564,34.632515,296.92,0.55,0.43,3/6/2021,2318,N,VIIRS,n,1,270.64,0.95,N,2
48.472084,34.630451,298.21,0.55,0.43,3/6/2021,2318,N,VIIRS,n,1,269.93,1.33,N,2
48.520741,34.624836,295.51,0.55,0.43,3/6/2021,2318,N,VIIRS,n,1,270.5,1.5,N,2
48.52002,34.632347,323.92,0.55,0.43,3/6/2021,2318,N,VIIRS,n,1,271.02,3.15,N,3
48.518803,35.856987,317.62,0.5,0.41,3/6/2021,2318,N,VIIRS,n,1,267.69,1.91,N,0
48.460598,38.769962,326.45,0.41,0.37,3/6/2021,2318,N,VIIRS,n,1,265.87,11.2,N,2
49.838417,33.447868,310.5,0.42,0.46,3/6/2021,2318,N,VIIRS,n,1,265.86,1,N,0
50.617325,32.520748,323.07,0.37,0.58,3/7/2021,54,N,VIIRS,n,1,264.9,1.78,N,0
48.532372,34.653698,299.53,0.53,0.67,3/7/2021,54,N,VIIRS,n,1,269.91,1.55,N,3
48.974918,24.710325,303.9,0.41,0.45,3/7/2021,54,N,VIIRS,n,1,270.32,1.36,N,2
47.870995,33.394825,312.89,0.5,0.66,3/7/2021,54,N,VIIRS,n,1,268.05,2.47,N,3
47.631886,34.328579,297.29,0.55,0.68,3/7/2021,54,N,VIIRS,n,1,266.31,1.17,N,2
47.865803,35.164539,296.12,0.59,0.7,3/7/2021,54,N,VIIRS,n,1,268.24,1.92,N,3
47.87598,35.155087,296.37,0.59,0.7,3/7/2021,54,N,VIIRS,n,1,266.75,1.69,N,2
47.09108,37.597637,308.83,0.78,0.78,3/7/2021,54,N,VIIRS,n,1,265.29,3.58,N,3
47.09758,37.602619,312.42,0.78,0.78,3/7/2021,54,N,VIIRS,n,1,265.71,4.59,N,2
47.095409,37.594467,330.87,0.78,0.78,3/7/2021,54,N,VIIRS,n,1,265.45,7.49,N,3
48.534645,34.647041,295.25,0.53,0.67,3/7/2021,54,N,VIIRS,n,1,268.04,1.55,N,3
47.153069,37.530975,367,0.55,0.68,3/7/2021,900,N,VIIRS,l,1,276.95,6.34,D,2
47.093651,37.599171,328.17,0.55,0.68,3/7/2021,900,N,VIIRS,n,1,276.02,5.52,D,2
47.155312,37.53754,325.48,0.55,0.68,3/7/2021,900,N,VIIRS,n,1,275.81,6.34,D,0
45.567127,28.696035,328.54,0.4,0.37,3/7/2021,1042,N,VIIRS,n,1,287.71,2.44,D,0
45.484612,28.974995,341.39,0.4,0.37,3/7/2021,1042,N,VIIRS,n,1,283.52,12.49,D,3
45.399311,28.975401,342.35,0.4,0.37,3/7/2021,1042,N,VIIRS,n,1,283.84,5.22,D,3
45.395988,28.976551,336.37,0.4,0.37,3/7/2021,1042,N,VIIRS,n,1,285.69,5.22,D,3
45.396854,28.981596,348.5,0.4,0.37,3/7/2021,1042,N,VIIRS,n,1,286.77,5.22,D,3
45.4142,29.103504,331.73,0.4,0.37,3/7/2021,1042,N,VIIRS,n,1,286.7,2.43,D,0
45.410889,29.104645,328.47,0.4,0.37,3/7/2021,1042,N,VIIRS,n,1,285.05,2.43,D,0
45.357586,29.223667,328.93,0.4,0.37,3/7/2021,1042,N,VIIRS,n,1,287.13,4.37,D,0
45.322536,29.622019,330.27,0.39,0.36,3/7/2021,1042,N,VIIRS,n,1,281.19,10.8,D,3
45.323364,29.626957,346.36,0.39,0.36,3/7/2021,1042,N,VIIRS,n,1,286.81,10.8,D,3
45.320068,29.628056,336.94,0.39,0.36,3/7/2021,1042,N,VIIRS,n,1,292.27,10.8,D,3
45.008755,33.802372,330.27,0.41,0.37,3/7/2021,1042,N,VIIRS,n,1,286.39,2.81,D,0
48.806362,33.963253,346.27,0.45,0.39,3/7/2021,1042,N,VIIRS,n,1,274.04,12.19,D,0
46.306759,34.167728,334.13,0.43,0.38,3/7/2021,1042,N,VIIRS,n,1,281.46,4.22,D,0
48.177563,23.13447,334.39,0.54,0.42,3/7/2021,1042,N,VIIRS,n,1,275.9,8.97,D,0
49.45396,32.83725,342.55,0.42,0.38,3/7/2021,1042,N,VIIRS,n,1,270.1,6.28,D,3
47.867687,33.443169,325.82,0.42,0.38,3/7/2021,1042,N,VIIRS,n,1,268.07,2.28,D,3
47.611107,34.303596,328.3,0.44,0.39,3/7/2021,1042,N,VIIRS,n,1,275.62,2.85,D,0
47.312592,32.209679,338.79,0.4,0.37,3/7/2021,1042,N,VIIRS,n,1,283.77,7.41,D,0
46.908997,31.582638,327.99,0.39,0.36,3/7/2021,1042,N,VIIRS,n,1,284.01,2.64,D,0
46.856525,31.24571,330.39,0.39,0.36,3/7/2021,1042,N,VIIRS,n,1,282.84,1.79,D,0
46.50885,30.064224,347.7,0.39,0.36,3/7/2021,1042,N,VIIRS,n,1,284.1,9.37,D,0
46.503212,30.050415,327.78,0.39,0.36,3/7/2021,1042,N,VIIRS,n,1,282.22,2.77,D,0
46.505581,30.065311,339.7,0.39,0.36,3/7/2021,1042,N,VIIRS,n,1,283.07,9.37,D,0
46.466541,30.036461,328.59,0.39,0.36,3/7/2021,1042,N,VIIRS,n,1,282.1,4.36,D,0
46.467331,30.041422,335.88,0.39,0.36,3/7/2021,1042,N,VIIRS,n,1,285.59,4.36,D,0
46.466885,30.054861,330.54,0.39,0.36,3/7/2021,1042,N,VIIRS,n,1,281.05,1.81,D,3
46.78067,32.2593,329.54,0.39,0.37,3/7/2021,1042,N,VIIRS,n,1,276.78,3.59,D,0
46.77734,32.260269,328.95,0.39,0.37,3/7/2021,1042,N,VIIRS,n,1,281.04,3.59,D,0
46.341537,29.72538,329.84,0.39,0.36,3/7/2021,1042,N,VIIRS,n,1,287.87,4.27,D,0
47.094418,35.625175,342.62,0.48,0.4,3/7/2021,1042,N,VIIRS,n,1,272.89,5.45,D,0
47.093552,35.627258,333.12,0.48,0.4,3/7/2021,1042,N,VIIRS,n,1,276.08,5.23,D,0
46.895103,34.401684,325.67,0.44,0.38,3/7/2021,1042,N,VIIRS,n,1,282.56,1.78,D,0
46.119919,29.234636,341.12,0.39,0.36,3/7/2021,1042,N,VIIRS,n,1,288.67,18.87,D,0
46.552464,32.554813,367,0.4,0.37,3/7/2021,1042,N,VIIRS,l,1,269.82,7,D,3
46.551762,32.549644,345.92,0.4,0.37,3/7/2021,1042,N,VIIRS,n,1,269.52,7,D,3
46.548416,32.550598,346.64,0.4,0.37,3/7/2021,1042,N,VIIRS,n,1,271.18,34.55,D,3
46.549118,32.555767,343.14,0.4,0.37,3/7/2021,1042,N,VIIRS,n,1,283.87,34.55,D,3
46.54982,32.560932,367,0.4,0.37,3/7/2021,1042,N,VIIRS,h,1,356.04,134.35,D,0
46.546471,32.561882,367,0.4,0.37,3/7/2021,1042,N,VIIRS,l,1,282.7,134.35,D,0
46.543129,32.562836,343.14,0.4,0.37,3/7/2021,1042,N,VIIRS,n,1,274.16,3.92,D,0
46.543827,32.568001,346.7,0.4,0.37,3/7/2021,1042,N,VIIRS,n,1,270.68,3.92,D,0
47.094475,37.593292,334.71,0.38,0.44,3/7/2021,1042,N,VIIRS,n,1,280.68,2.2,D,3
47.095375,37.603508,330.74,0.38,0.44,3/7/2021,1042,N,VIIRS,n,1,281.61,3.79,D,2
47.091366,37.604359,337.82,0.38,0.44,3/7/2021,1042,N,VIIRS,n,1,285.18,16.96,D,3
